cell_type,donor_tissue,germ_layer
fibroblast,Stomach,Mesoderm
fibroblast,Thymus,Mesoderm
fibroblast,Tongue,Mesoderm
fibroblast_of_breast,Mammary,Mesoderm
fibroblast_of_cardiac_tissue,Heart,Mesoderm
glandular_secretory_epithelial_cell,Ovary,Mesoderm
granulocyte,BoneMarrow,Mesoderm
granulocyte,Bone_Marrow,Mesoderm
granulocyte,Muscle,Mesoderm
hematopoietic_precursor_cell,BoneMarrow,Mesoderm
hematopoietic_stem_cell,Blood,Mesoderm
hematopoietic_stem_cell,Bone_Marrow,Mesoderm
hematopoietic_stem_cell,Lymph_Node,Mesoderm
hematopoietic_stem_cell,Spleen,Mesoderm
hepatocyte,Liver,Endoderm
innate_lymphoid_cell,Lymph_Node,Mesoderm
innate_lymphoid_cell,Spleen,Mesoderm
intermediate_monocyte,Blood,Mesoderm
intermediate_monocyte,Liver,Mesoderm
intermediate_monocyte,Lung,Mesoderm
intermediate_monocyte,Lymph_Node,Mesoderm
intermediate_monocyte,Spleen,Mesoderm
interstitial_cell_of_Cajal,Stomach,Mesoderm
keratinocyte,Tongue,Ectoderm
keratocyte,Eye,Ectoderm
leukocyte,Fat,Mesoderm
leukocyte,Tongue,Mesoderm
luminal_epithelial_cell_of_mammary_gland,Mammary,Ectoderm
lung_ciliated_cell,Lung,Endoderm
lung_microvascular_endothelial_cell,Lung,Mesoderm
macrophage,Bladder,Mesoderm
macrophage,Blood,Mesoderm
macrophage,BoneMarrow,Mesoderm
macrophage,Eye,Mesoderm
macrophage,Fat,Mesoderm
macrophage,Heart,Mesoderm
macrophage,Liver,Mesoderm
macrophage,Lung,Mesoderm
macrophage,Lymph_Node,Mesoderm
macrophage,Muscle,Mesoderm
macrophage,Pancreas,Mesoderm
macrophage,Spleen,Mesoderm
macrophage,Stomach,Mesoderm
macrophage,Tongue,Mesoderm
mast_cell,Bladder,Mesoderm
mast_cell,Eye,Mesoderm
mast_cell,Fat,Mesoderm
mast_cell,Lung,Mesoderm
mast_cell,Lymph_Node,Mesoderm
mast_cell,Muscle,Mesoderm
mature_NK_T_cell,Bladder,Mesoderm
mature_NK_T_cell,Blood,Mesoderm
mature_NK_T_cell,BoneMarrow,Mesoderm
mature_NK_T_cell,Bone_Marrow,Mesoderm
mature_NK_T_cell,Eye,Mesoderm
mature_NK_T_cell,Fat,Mesoderm
mature_NK_T_cell,Liver,Mesoderm
mature_NK_T_cell,Lung,Mesoderm
mature_NK_T_cell,Lymph_Node,Mesoderm
mature_NK_T_cell,Muscle,Mesoderm
mature_NK_T_cell,Spleen,Mesoderm
mature_NK_T_cell,Tongue,Mesoderm
memory_B_cell,Blood,Mesoderm
memory_B_cell,Fat,Mesoderm
memory_B_cell,Lung,Mesoderm
memory_B_cell,Lymph_Node,Mesoderm
memory_B_cell,Spleen,Mesoderm
memory_B_cell,Tongue,Mesoderm
mesenchymal_stem_cell,Blood,Mesoderm
mesenchymal_stem_cell,Fat,Mesoderm
mesenchymal_stem_cell,Lymph_Node,Mesoderm
mesenchymal_stem_cell,Muscle,Mesoderm
mesenchymal_stem_cell,Spleen,Mesoderm
mesenchymal_stem_cell_of_adipose_tissue,Fat,Mesoderm
monocyte,Bladder,Mesoderm
monocyte,Blood,Mesoderm
monocyte,Bone_Marrow,Mesoderm
monocyte,Eye,Mesoderm
monocyte,Fat,Mesoderm
monocyte,Liver,Mesoderm
monocyte,Lung,Mesoderm
monocyte,Lymph_Node,Mesoderm
monocyte,Muscle,Mesoderm
monocyte,SalivaryGland,Mesoderm
monocyte,Spleen,Mesoderm
monocyte,Stomach,Mesoderm
monocyte,Tongue,Mesoderm
mononuclear_phagocyte,Stomach,Mesoderm
myeloid_dendritic_cell,BoneMarrow,Mesoderm
myoepithelial_cell,Tongue,Ectoderm
myofibroblast_cell,Bladder,Mesoderm
myofibroblast_cell,Fat,Mesoderm
myofibroblast_cell,Lung,Mesoderm
naive_B_cell,Blood,Mesoderm
naive_B_cell,Bone_Marrow,Mesoderm
naive_B_cell,Fat,Mesoderm
naive_B_cell,Lung,Mesoderm
naive_B_cell,Lymph_Node,Mesoderm
naive_B_cell,Spleen,Mesoderm
naive_thymus-derived_CD4-positive_alpha-beta_T_cell,Blood,Mesoderm
naive_thymus-derived_CD4-positive_alpha-beta_T_cell,Lymph_Node,Mesoderm
naive_thymus-derived_CD4-positive_alpha-beta_T_cell,Spleen,Mesoderm
naive_thymus-derived_CD8-positive_alpha-beta_T_cell,Spleen,Mesoderm
natural_killer_cell,Spleen,Mesoderm
neuron,Heart,Ectoderm
neutrophil,Bladder,Mesoderm
neutrophil,Blood,Mesoderm
neutrophil,BoneMarrow,Mesoderm
neutrophil,Bone_Marrow,Mesoderm
neutrophil,Eye,Mesoderm
neutrophil,Fat,Mesoderm
neutrophil,Heart,Mesoderm
neutrophil,Liver,Mesoderm
neutrophil,Lung,Mesoderm
neutrophil,Lymph_Node,Mesoderm
neutrophil,Prostate,Mesoderm
neutrophil,SalivaryGland,Mesoderm
neutrophil,Spleen,Mesoderm
neutrophil,Thymus,Mesoderm
neutrophil,Tongue,Mesoderm
non-classical_monocyte,Blood,Mesoderm
non-classical_monocyte,Lung,Mesoderm
non-classical_monocyte,Lymph_Node,Mesoderm
ovarian_surface_epithelial_cell,Ovary,Mesoderm
pancreatic_ductal_cell,Pancreas,Endoderm
pericyte,Bladder,Mesoderm
pericyte,Fat,Mesoderm
pericyte,Heart,Mesoderm
pericyte,Lung,Mesoderm
pericyte,Muscle,Mesoderm
pericyte,Tongue,Mesoderm
plasma_cell,Bladder,Mesoderm
plasma_cell,Blood,Mesoderm
plasma_cell,BoneMarrow,Mesoderm
plasma_cell,Bone_Marrow,Mesoderm
plasma_cell,Eye,Mesoderm
plasma_cell,Fat,Mesoderm
plasma_cell,Liver,Mesoderm
plasma_cell,Lung,Mesoderm
plasma_cell,Lymph_Node,Mesoderm
plasma_cell,Mammary,Mesoderm
plasma_cell,Spleen,Mesoderm
plasma_cell,Stomach,Mesoderm
plasma_cell,Trachea,Mesoderm
progenitor_cell_of_mammary_luminal_epithelium,Mammary,Ectoderm
pulmonary_alveolar_type_1_cell,Lung,Endoderm
pulmonary_alveolar_type_2_cell,Lung,Endoderm
regulatory_T_cell,Bladder,Mesoderm
regulatory_T_cell,Lymph_Node,Mesoderm
regulatory_T_cell,Spleen,Mesoderm
regulatory_T_cell,Tongue,Mesoderm
respiratory_goblet_cell,Lung,Endoderm
retinal_blood_vessel_endothelial_cell,Eye,Mesoderm
skeletal_muscle_satellite_stem_cell,Muscle,Mesoderm
slow_muscle_cell,Muscle,Mesoderm
smooth_muscle_cell,Bladder,Mesoderm
smooth_muscle_cell,Eye,Mesoderm
smooth_muscle_cell,Fat,Mesoderm
smooth_muscle_cell,Heart,Mesoderm
smooth_muscle_cell,Muscle,Mesoderm
stratified_squamous_epithelial_cell,Tongue,Ectoderm/Endoderm
stromal_cell,Eye,Mesoderm
stromal_cell,Lymph_Node,Mesoderm
stromal_cell_of_ovary,Ovary,Mesoderm
type_I_NK_T_cell,Blood,Mesoderm
type_I_NK_T_cell,Lymph_Node,Mesoderm
type_I_NK_T_cell,Spleen,Mesoderm
vascular_associated_smooth_muscle_cell,Mammary,Mesoderm
vein_endothelial_cell,Bladder,Mesoderm
vein_endothelial_cell,Lung,Mesoderm
vein_endothelial_cell,Tongue,Mesoderm
ventricular_cardiac_muscle_cell,Heart,Mesoderm
