scope,chromosome,bin_idx,start_bp,end_bp,start_mb,end_mb,region,bin_width_bp,bin_mid_bp,chrom_length_bp,chrom_offset_bp,chrom_center_mb,label,genome_mid_bp,mean_n_variants,sem_n_variants,mean_variants_per_100mb,sem_variants_per_100mb,n_unique_donor_variants,n_stage_timing_donors,bin_size_bp,species,dataset,plot_label,scope_color
Adult-specific,chr1,0,1,10000000,1e-06,10.0,chr1:0.0-10.0 Mb,10000000,5000000.5,195471971,0,97.7359855,1,5000000.5,1.6666666666666667,0.40824829046386296,16.666666666666668,4.08248290463863,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr1,1,10000001,20000000,10.000001,20.0,chr1:10.0-20.0 Mb,10000000,15000000.5,195471971,0,97.7359855,1,15000000.5,1.1111111111111112,0.30932024237944566,11.11111111111111,3.0932024237944566,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr1,2,20000001,30000000,20.000001,30.0,chr1:20.0-30.0 Mb,10000000,25000000.5,195471971,0,97.7359855,1,25000000.5,0.7777777777777778,0.36430214023900004,7.777777777777778,3.643021402390001,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr1,3,30000001,40000000,30.000001,40.0,chr1:30.0-40.0 Mb,10000000,35000000.5,195471971,0,97.7359855,1,35000000.5,2.6666666666666665,0.5773502691896258,26.666666666666668,5.773502691896258,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr1,4,40000001,50000000,40.000001,50.0,chr1:40.0-50.0 Mb,10000000,45000000.5,195471971,0,97.7359855,1,45000000.5,0.6666666666666666,0.16666666666666666,6.666666666666667,1.6666666666666667,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr1,5,50000001,60000000,50.000001,60.0,chr1:50.0-60.0 Mb,10000000,55000000.5,195471971,0,97.7359855,1,55000000.5,5.333333333333333,0.8498365855987974,53.333333333333336,8.498365855987975,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr1,6,60000001,70000000,60.000001,70.0,chr1:60.0-70.0 Mb,10000000,65000000.5,195471971,0,97.7359855,1,65000000.5,2.2222222222222223,0.5211573066470477,22.22222222222222,5.211573066470478,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr1,7,70000001,80000000,70.000001,80.0,chr1:70.0-80.0 Mb,10000000,75000000.5,195471971,0,97.7359855,1,75000000.5,2.888888888888889,0.611111111111111,28.88888888888889,6.111111111111111,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr1,8,80000001,90000000,80.000001,90.0,chr1:80.0-90.0 Mb,10000000,85000000.5,195471971,0,97.7359855,1,85000000.5,11.11111111111111,1.2069756101333573,111.11111111111111,12.069756101333573,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
Adult-specific,chr1,9,90000001,100000000,90.000001,100.0,chr1:90.0-100.0 Mb,10000000,95000000.5,195471971,0,97.7359855,1,95000000.5,1.1111111111111112,0.30932024237944566,11.11111111111111,3.0932024237944566,7319,9,10000000,Mouse,TabMur,Mouse (TabMur),#7e4314
