species,dataset,donor,stage_label,n_variants,total_site_pairs,top_two_germ_layer_10bp_chrom,top_two_germ_layer_10bp_start,top_two_germ_layer_10bp_end,top_two_germ_layer_10bp_n_unique_sites,top_two_germ_layer_10bp_n_germ_layers,top_two_germ_layer_10bp_germ_layers,top_two_germ_layer_10bp_window_pair_fraction,top_two_germ_layer_10bp_mutation_frequency_per_bp,top_two_germ_layer_10bp_random_exact_site_probability,top_two_germ_layer_100bp_chrom,top_two_germ_layer_100bp_start,top_two_germ_layer_100bp_end,top_two_germ_layer_100bp_n_unique_sites,top_two_germ_layer_100bp_n_germ_layers,top_two_germ_layer_100bp_germ_layers,top_two_germ_layer_100bp_window_pair_fraction,top_two_germ_layer_100bp_mutation_frequency_per_bp,top_two_germ_layer_100bp_random_exact_site_probability,top_two_germ_layer_1kb_chrom,top_two_germ_layer_1kb_start,top_two_germ_layer_1kb_end,top_two_germ_layer_1kb_n_unique_sites,top_two_germ_layer_1kb_n_germ_layers,top_two_germ_layer_1kb_germ_layers,top_two_germ_layer_1kb_window_pair_fraction,top_two_germ_layer_1kb_mutation_frequency_per_bp,top_two_germ_layer_1kb_random_exact_site_probability
Mouse,TabMur,1-M-62,Embryoblast,17,136,chr1,59843831,59843840,1,2,Ectoderm;Mesoderm,0.0,0.1,0.0,chr1,59843801,59843900,1,2,Ectoderm;Mesoderm,0.0,0.01,0.0,chr1,59843001,59844000,1,2,Ectoderm;Mesoderm,0.0,0.001,0.0
Mouse,TabMur,1-M-62,Germ layer-specific,7,21,,,,0,0,,0.0,0.0,0.0,,,,0,0,,0.0,0.0,0.0,,,,0,0,,0.0,0.0,0.0
Mouse,TabMur,1-M-62,Tissue-specific,182,16471,,,,0,0,,0.0,0.0,0.0,,,,0,0,,0.0,0.0,0.0,,,,0,0,,0.0,0.0,0.0
Mouse,TabMur,1-M-62,Adult-specific,903,407253,,,,0,0,,0.0,0.0,0.0,chr16,32903801,32903900,3,2,Ectoderm;Mesoderm,7.366428239939301e-06,0.03,7.366428239939301e-08,chr15,100064001,100065000,3,2,Ectoderm;Mesoderm,7.366428239939301e-06,0.003,7.366428239939301e-09
Mouse,TabMur,1-M-63,Embryoblast,77,2926,chr17,56090161,56090170,1,3,Ectoderm;Endoderm;Mesoderm,0.0,0.1,0.0,chr17,56090101,56090200,2,3,Ectoderm;Endoderm;Mesoderm,0.0003417634996582365,0.02,3.4176349965823652e-06,chr17,56090001,56091000,2,3,Ectoderm;Endoderm;Mesoderm,0.0003417634996582365,0.002,3.417634996582365e-07
Mouse,TabMur,1-M-63,Germ layer-specific,60,1770,,,,0,0,,0.0,0.0,0.0,,,,0,0,,0.0,0.0,0.0,,,,0,0,,0.0,0.0,0.0
Mouse,TabMur,1-M-63,Tissue-specific,174,15051,,,,0,0,,0.0,0.0,0.0,,,,0,0,,0.0,0.0,0.0,,,,0,0,,0.0,0.0,0.0
Mouse,TabMur,1-M-63,Adult-specific,1128,635628,chr5,107905431,107905440,2,2,Ectoderm;Mesoderm,1.5732472452440736e-06,0.2,1.5732472452440735e-07,chr5,107905401,107905500,4,2,Ectoderm;Mesoderm,9.43948347146444e-06,0.04,9.439483471464441e-08,chr5,107905001,107906000,4,2,Ectoderm;Mesoderm,9.43948347146444e-06,0.004,9.43948347146444e-09
Mouse,TabMur,18-F-50,Embryoblast,83,3403,chr7,19699731,19699740,2,2,Ectoderm;Mesoderm,0.0002938583602703497,0.2,2.9385836027034972e-05,chr13,55344001,55344100,2,3,Ectoderm;Endoderm;Mesoderm,0.0002938583602703497,0.02,2.938583602703497e-06,chr13,55344001,55345000,2,3,Ectoderm;Endoderm;Mesoderm,0.0002938583602703497,0.002,2.938583602703497e-07
Mouse,TabMur,18-F-50,Germ layer-specific,34,561,,,,0,0,,0.0,0.0,0.0,,,,0,0,,0.0,0.0,0.0,,,,0,0,,0.0,0.0,0.0
